Date,Open,High,Low,Close,Adj Close,Volume
2022-08-23,2.9000000953674316,2.9000000953674316,2.2125000953674316,2.5,2.5,65560
2022-08-24,2.5244998931884766,2.549999952316284,2.450000047683716,2.450000047683716,2.450000047683716,2200
2022-08-25,2.4240000247955322,2.4240000247955322,2.4000000953674316,2.4000000953674316,2.4000000953674316,1980
2022-08-26,2.549999952316284,3.0,2.5,2.700000047683716,2.700000047683716,7250
2022-08-29,2.700000047683716,2.700000047683716,2.5,2.5,2.5,575
2022-08-30,2.799999952316284,2.799999952316284,2.799999952316284,2.799999952316284,2.799999952316284,234
2022-08-31,2.4000000953674316,2.4000000953674316,2.4000000953674316,2.4000000953674316,2.4000000953674316,100
2022-09-01,2.5,2.5,2.5,2.5,2.5,278
2022-09-02,2.25,2.299999952316284,2.25,2.299999952316284,2.299999952316284,8622
2022-09-06,2.299999952316284,2.299999952316284,2.299999952316284,2.299999952316284,2.299999952316284,0
2022-09-07,2.4000000953674316,2.4000000953674316,2.4000000953674316,2.4000000953674316,2.4000000953674316,12500
2022-09-08,2.4000000953674316,2.4000000953674316,2.4000000953674316,2.4000000953674316,2.4000000953674316,1000
2022-09-09,2.4000000953674316,2.4000000953674316,2.4000000953674316,2.4000000953674316,2.4000000953674316,0
2022-09-12,2.4000000953674316,2.4000000953674316,2.4000000953674316,2.4000000953674316,2.4000000953674316,0
2022-09-13,2.2799999713897705,2.4000000953674316,2.2799999713897705,2.4000000953674316,2.4000000953674316,1100
2022-09-14,2.25,2.4000000953674316,2.25,2.299999952316284,2.299999952316284,3200
2022-09-15,2.0,2.700000047683716,1.5099999904632568,2.5,2.5,1681
2022-09-16,2.2200000286102295,2.2200000286102295,1.75,1.75,1.75,25200
2022-09-19,2.25,2.25,2.25,2.25,2.25,300
2022-09-20,2.700000047683716,2.799999952316284,2.0,2.0,2.0,33807
2022-09-21,2.0299999713897705,2.069999933242798,2.0299999713897705,2.069999933242798,2.069999933242798,26850
2022-09-22,2.049999952316284,2.049999952316284,2.0,2.049999952316284,2.049999952316284,24800
2022-09-23,2.049999952316284,2.1500000953674316,2.0,2.0,2.0,26255
2022-09-26,2.0999999046325684,2.0999999046325684,2.0,2.049999952316284,2.049999952316284,24400
2022-09-27,2.0999999046325684,2.100100040435791,2.0999999046325684,2.0999999046325684,2.0999999046325684,2600
2022-09-28,2.130000114440918,2.25,2.0999999046325684,2.25,2.25,24083
2022-09-29,2.5,3.0,2.259999990463257,2.6500000953674316,2.6500000953674316,22706
2022-09-30,2.75,3.75,2.5999999046325684,3.0799999237060547,3.0799999237060547,24035
2022-10-03,3.75,3.75,3.25,3.25,3.25,14322
2022-10-04,3.25,3.3499999046325684,3.25,3.299999952316284,3.299999952316284,35178
2022-10-05,3.299999952316284,3.359999895095825,3.299999952316284,3.3499999046325684,3.3499999046325684,8900
2022-10-06,3.3499999046325684,3.5,3.0399999618530273,3.5,3.5,30100
2022-10-07,3.5,3.549999952316284,3.5,3.549999952316284,3.549999952316284,40750
2022-10-10,3.549999952316284,3.75,3.5,3.5,3.5,15450
2022-10-11,3.5,3.5,3.5,3.5,3.5,1000
2022-10-12,3.4800000190734863,3.575000047683716,3.2720000743865967,3.2720000743865967,3.2720000743865967,20150
2022-10-13,3.5,3.6500000953674316,3.5,3.6500000953674316,3.6500000953674316,1700
2022-10-14,3.549999952316284,3.559999942779541,3.549999952316284,3.549999952316284,3.549999952316284,5350
2022-10-17,3.549999952316284,3.549999952316284,3.549999952316284,3.549999952316284,3.549999952316284,11250
2022-10-18,3.549999952316284,3.549999952316284,3.299999952316284,3.3499999046325684,3.3499999046325684,10900
2022-10-19,3.4000000953674316,3.5299999713897705,3.25,3.25,3.25,39095
2022-10-20,3.4000000953674316,3.4000000953674316,3.200000047683716,3.299999952316284,3.299999952316284,11075
2022-10-21,3.25,3.25,3.240000009536743,3.240000009536743,3.240000009536743,5000
2022-10-24,3.240000009536743,3.549999952316284,3.240000009536743,3.3499999046325684,3.3499999046325684,26800
2022-10-25,3.2799999713897705,3.299999952316284,3.0999999046325684,3.1500000953674316,3.1500000953674316,22700
2022-10-26,3.180000066757202,3.200000047683716,3.0999999046325684,3.0999999046325684,3.0999999046325684,12450
2022-10-27,3.009999990463257,3.049999952316284,3.0,3.049999952316284,3.049999952316284,6750
2022-10-28,3.0,3.200000047683716,3.0,3.200000047683716,3.200000047683716,6000
2022-10-31,2.9100000858306885,3.0,2.9000000953674316,3.0,3.0,2550
2022-11-01,3.0,3.200000047683716,2.881999969482422,3.049999952316284,3.049999952316284,13500
2022-11-02,3.049999952316284,3.1500000953674316,3.0,3.1500000953674316,3.1500000953674316,12300
2022-11-03,3.200000047683716,3.200000047683716,2.8940000534057617,3.049999952316284,3.049999952316284,10549
2022-11-04,3.049999952316284,3.069999933242798,2.799999952316284,2.799999952316284,2.799999952316284,15053
2022-11-07,2.8499999046325684,2.8499999046325684,2.700000047683716,2.700000047683716,2.700000047683716,300
2022-11-08,2.75,2.990000009536743,2.75,2.9000000953674316,2.9000000953674316,4007
2022-11-09,2.799999952316284,2.799999952316284,2.75,2.75,2.75,900
2022-11-10,2.75,2.799999952316284,2.5,2.700000047683716,2.700000047683716,4895
2022-11-11,2.799999952316284,2.799999952316284,2.799999952316284,2.799999952316284,2.799999952316284,5600
2022-11-14,2.799999952316284,2.799999952316284,2.6500000953674316,2.799999952316284,2.799999952316284,6700
2022-11-15,2.75,2.799999952316284,2.75,2.799999952316284,2.799999952316284,8844
2022-11-16,2.8499999046325684,2.8499999046325684,2.799999952316284,2.799999952316284,2.799999952316284,4321
2022-11-17,2.549999952316284,2.549999952316284,2.4700000286102295,2.5,2.5,11200
2022-11-18,2.549999952316284,2.549999952316284,2.4600000381469727,2.5,2.5,7200
2022-11-21,2.5,2.5,2.3499999046325684,2.3499999046325684,2.3499999046325684,18394
2022-11-22,2.5,2.5,2.5,2.5,2.5,3300
2022-11-23,2.5,2.5,2.5,2.5,2.5,1300
2022-11-25,2.375,2.5,2.25,2.25,2.25,1100
2022-11-28,2.4000000953674316,2.450000047683716,2.25,2.25,2.25,5350
2022-11-29,2.25,2.25,2.200000047683716,2.2200000286102295,2.2200000286102295,2985
2022-11-30,2.25,2.25,1.9800000190734863,2.0799999237060547,2.0799999237060547,18030
2022-12-01,2.0999999046325684,2.0999999046325684,1.4500000476837158,1.5099999904632568,1.5099999904632568,44250
2022-12-02,1.350000023841858,1.5099999904632568,1.149999976158142,1.5,1.5,25250
2022-12-05,1.4500000476837158,1.4500000476837158,1.4500000476837158,1.4500000476837158,1.4500000476837158,13680
2022-12-06,1.4500000476837158,1.4500000476837158,1.4500000476837158,1.4500000476837158,1.4500000476837158,7609
2022-12-07,1.4500000476837158,1.4500000476837158,1.399999976158142,1.4500000476837158,1.4500000476837158,12254
2022-12-08,1.4500000476837158,1.4500000476837158,1.399999976158142,1.4500000476837158,1.4500000476837158,15280
2022-12-09,1.4500000476837158,1.4500000476837158,1.4500000476837158,1.4500000476837158,1.4500000476837158,5000
2022-12-12,1.4500000476837158,1.4500000476837158,1.4500000476837158,1.4500000476837158,1.4500000476837158,1000
2022-12-13,1.4500000476837158,1.4500000476837158,1.3480000495910645,1.3799999952316284,1.3799999952316284,9400
2022-12-14,1.5,1.5,1.399999976158142,1.4500000476837158,1.4500000476837158,2600
2022-12-15,1.4500000476837158,1.4500000476837158,1.4500000476837158,1.4500000476837158,1.4500000476837158,170
2022-12-16,1.4500000476837158,1.4500000476837158,1.4500000476837158,1.4500000476837158,1.4500000476837158,0
2022-12-19,1.0499999523162842,1.25,0.7799999713897705,1.0,1.0,3695
2022-12-20,0.7749999761581421,0.8999999761581421,0.6299999952316284,0.75,0.75,7100
2022-12-21,0.75,0.75,0.75,0.75,0.75,2333
2022-12-22,0.6499999761581421,0.6499999761581421,0.5101000070571899,0.6000000238418579,0.6000000238418579,1720
2022-12-23,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,2000
2022-12-27,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579,0
2022-12-28,0.6499999761581421,0.6499999761581421,0.6499999761581421,0.6499999761581421,0.6499999761581421,200
2022-12-29,0.6499999761581421,0.6499999761581421,0.6499999761581421,0.6499999761581421,0.6499999761581421,0
2022-12-30,0.6539999842643738,0.6539999842643738,0.6539999842643738,0.6539999842643738,0.6539999842643738,510
2023-01-03,0.6539999842643738,0.6539999842643738,0.6539999842643738,0.6539999842643738,0.6539999842643738,0
2023-01-04,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,0.5099999904632568,600
2023-01-05,0.75,0.75,0.75,0.75,0.75,100
2023-01-06,0.75,0.75,0.75,0.75,0.75,0
2023-01-09,0.75,0.75,0.75,0.75,0.75,0
2023-01-10,0.550000011920929,0.550000011920929,0.550000011920929,0.550000011920929,0.550000011920929,1000
2023-01-11,0.550000011920929,0.550000011920929,0.550000011920929,0.550000011920929,0.550000011920929,0
2023-01-12,0.75,1.0,0.75,1.0,1.0,1599
2023-01-13,1.0,1.25,1.0,1.25,1.25,1100
2023-01-17,1.600000023841858,1.600000023841858,1.600000023841858,1.600000023841858,1.600000023841858,1000
2023-01-18,1.600000023841858,1.600000023841858,1.600000023841858,1.600000023841858,1.600000023841858,0
2023-01-19,1.600000023841858,1.600000023841858,1.600000023841858,1.600000023841858,1.600000023841858,0
2023-01-20,1.600000023841858,1.600000023841858,1.600000023841858,1.600000023841858,1.600000023841858,700
2023-01-23,1.600000023841858,2.299999952316284,1.600000023841858,2.299999952316284,2.299999952316284,2600
2023-01-24,2.549999952316284,2.549999952316284,0.75,1.5,1.5,4030
2023-01-25,1.100000023841858,1.6299999952316284,1.100000023841858,1.6299999952316284,1.6299999952316284,1825
2023-01-26,1.6299999952316284,1.6299999952316284,1.6299999952316284,1.6299999952316284,1.6299999952316284,0
2023-01-27,1.649999976158142,1.649999976158142,1.649999976158142,1.649999976158142,1.649999976158142,200
2023-01-30,1.625,2.0,1.5,1.5,1.5,1763
2023-01-31,1.5,1.5,1.5,1.5,1.5,0
2023-02-01,2.0,2.0,2.0,2.0,2.0,500
2023-02-02,1.649999976158142,1.649999976158142,0.8500000238418579,1.399999976158142,1.399999976158142,2602
2023-02-03,1.5,1.850000023841858,1.5,1.850000023841858,1.850000023841858,400
2023-02-06,1.600000023841858,1.7999999523162842,1.600000023841858,1.7999999523162842,1.7999999523162842,500
2023-02-07,1.7999999523162842,1.7999999523162842,1.7999999523162842,1.7999999523162842,1.7999999523162842,0
2023-02-08,1.600000023841858,1.600000023841858,0.8999999761581421,0.8999999761581421,0.8999999761581421,5277
2023-02-09,0.8999999761581421,0.8999999761581421,0.800000011920929,0.8999999761581421,0.8999999761581421,7468
2023-02-10,0.5099999904632568,0.8999999761581421,0.5099999904632568,0.8999999761581421,0.8999999761581421,3500
2023-02-13,0.8999999761581421,0.8999999761581421,0.8999999761581421,0.8999999761581421,0.8999999761581421,766
2023-02-14,1.0,1.25,0.949999988079071,1.25,1.25,1200
2023-02-15,1.4500000476837158,1.4500000476837158,1.100000023841858,1.2999999523162842,1.2999999523162842,1923
2023-02-16,1.2999999523162842,1.5499999523162842,1.2999999523162842,1.5,1.5,2409
2023-02-17,1.5,1.75,1.190000057220459,1.75,1.75,3300
2023-02-21,1.7999999523162842,1.7999999523162842,1.2599999904632568,1.2599999904632568,1.2599999904632568,706
2023-02-22,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,100
2023-02-23,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,1.399999976158142,0
2023-02-24,1.2999999523162842,1.2999999523162842,1.2999999523162842,1.2999999523162842,1.2999999523162842,100
2023-02-27,1.149999976158142,1.149999976158142,1.0099999904632568,1.0099999904632568,1.0099999904632568,300
2023-02-28,1.0099999904632568,1.0099999904632568,1.0099999904632568,1.0099999904632568,1.0099999904632568,0
2023-03-01,1.0099999904632568,1.0099999904632568,1.0099999904632568,1.0099999904632568,1.0099999904632568,0
2023-03-02,1.100000023841858,1.1109999418258667,1.100000023841858,1.100000023841858,1.100000023841858,300
2023-03-03,1.100000023841858,1.100000023841858,1.100000023841858,1.100000023841858,1.100000023841858,0
2023-03-06,1.0,1.0,1.0,1.0,1.0,1350
2023-03-07,1.0,1.0,1.0,1.0,1.0,0
2023-03-08,1.0,1.0,1.0,1.0,1.0,0
2023-03-09,1.0,1.0,1.0,1.0,1.0,0
2023-03-10,1.0,1.0,1.0,1.0,1.0,0
2023-03-13,0.9860000014305115,0.9860000014305115,0.9860000014305115,0.9860000014305115,0.9860000014305115,1000
2023-03-14,0.9860000014305115,0.9860000014305115,0.9860000014305115,0.9860000014305115,0.9860000014305115,0
2023-03-15,0.8585000038146973,0.8585000038146973,0.8500000238418579,0.8500000238418579,0.8500000238418579,1000
2023-03-16,0.8500000238418579,0.8500000238418579,0.8500000238418579,0.8500000238418579,0.8500000238418579,0
2023-03-17,0.8500000238418579,0.8500000238418579,0.8500000238418579,0.8500000238418579,0.8500000238418579,0
2023-03-20,0.8500000238418579,0.8500000238418579,0.8500000238418579,0.8500000238418579,0.8500000238418579,0
2023-03-21,0.8500000238418579,0.8500000238418579,0.8500000238418579,0.8500000238418579,0.8500000238418579,0
2023-03-22,0.8500000238418579,0.8500000238418579,0.8500000238418579,0.8500000238418579,0.8500000238418579,0
2023-03-23,0.7549999952316284,0.8500000238418579,0.7549999952316284,0.8500000238418579,0.8500000238418579,1400
2023-03-24,0.8500000238418579,0.8500000238418579,0.8500000238418579,0.8500000238418579,0.8500000238418579,0
2023-03-27,0.8500000238418579,0.8500000238418579,0.8500000238418579,0.8500000238418579,0.8500000238418579,0
2023-03-28,0.8500000238418579,0.8500000238418579,0.8500000238418579,0.8500000238418579,0.8500000238418579,0
2023-03-29,0.6499999761581421,0.6499999761581421,0.11079999804496765,0.11079999804496765,0.11079999804496765,2380
2023-03-30,0.11079999804496765,0.11079999804496765,0.11079999804496765,0.11079999804496765,0.11079999804496765,0
2023-03-31,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,100
2023-04-03,0.8999999761581421,0.8999999761581421,0.800000011920929,0.800000011920929,0.800000011920929,2625
2023-04-04,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0
2023-04-05,0.5099999904632568,0.75,0.10000000149011612,0.75,0.75,2150
2023-04-06,0.25,0.25,0.25,0.25,0.25,350
2023-04-10,0.25,0.25,0.25,0.25,0.25,0
2023-04-11,0.4000000059604645,0.4000000059604645,0.3959999978542328,0.4000000059604645,0.4000000059604645,27104
2023-04-12,0.4000000059604645,0.4000000059604645,0.4000000059604645,0.4000000059604645,0.4000000059604645,1000
2023-04-13,0.4000000059604645,0.4000000059604645,0.4000000059604645,0.4000000059604645,0.4000000059604645,0
2023-04-14,0.4000000059604645,0.4000000059604645,0.4000000059604645,0.4000000059604645,0.4000000059604645,0
2023-04-17,0.30000001192092896,0.31450000405311584,0.30000001192092896,0.30000001192092896,0.30000001192092896,8250
2023-04-18,0.4000000059604645,0.4000000059604645,0.4000000059604645,0.4000000059604645,0.4000000059604645,500
2023-04-19,0.4000000059604645,0.4000000059604645,0.4000000059604645,0.4000000059604645,0.4000000059604645,0
2023-04-20,0.4000000059604645,0.4000000059604645,0.4000000059604645,0.4000000059604645,0.4000000059604645,0
2023-04-21,0.4000000059604645,0.4000000059604645,0.4000000059604645,0.4000000059604645,0.4000000059604645,200
2023-04-24,0.4000000059604645,0.4000000059604645,0.4000000059604645,0.4000000059604645,0.4000000059604645,0
2023-04-25,0.3050000071525574,0.5099999904632568,0.3050000071525574,0.5099999904632568,0.5099999904632568,11200
2023-04-26,0.550000011920929,0.550000011920929,0.550000011920929,0.550000011920929,0.550000011920929,1000
2023-04-27,0.5,0.550000011920929,0.5,0.550000011920929,0.550000011920929,4000
2023-04-28,0.550000011920929,0.550000011920929,0.550000011920929,0.550000011920929,0.550000011920929,0
2023-05-01,0.550000011920929,0.550000011920929,0.550000011920929,0.550000011920929,0.550000011920929,0
2023-05-02,0.550000011920929,0.550000011920929,0.550000011920929,0.550000011920929,0.550000011920929,0
2023-05-03,0.4099999964237213,0.6499999761581421,0.4000000059604645,0.44999998807907104,0.44999998807907104,187235
2023-05-04,0.4311000108718872,0.44999998807907104,0.39500001072883606,0.4000000059604645,0.4000000059604645,104100
2023-05-05,0.41999998688697815,0.550000011920929,0.38999998569488525,0.49000000953674316,0.49000000953674316,222000
2023-05-08,0.48510000109672546,0.48510000109672546,0.48510000109672546,0.48510000109672546,0.48510000109672546,1550
2023-05-09,0.40070000290870667,0.5,0.40070000290870667,0.5,0.5,47250
2023-05-10,0.5799999833106995,0.6299999952316284,0.5,0.5799999833106995,0.5799999833106995,51508
2023-05-11,0.5800999999046326,0.7999899983406067,0.44999998807907104,0.44999998807907104,0.44999998807907104,167482
2023-05-12,0.5,0.699999988079071,0.4708000123500824,0.5103999972343445,0.5103999972343445,22350
2023-05-15,0.5,0.5,0.4000000059604645,0.5,0.5,34968
2023-05-16,0.5,0.5,0.5,0.5,0.5,0
2023-05-17,0.5,0.5,0.44999998807907104,0.45080000162124634,0.45080000162124634,10865
2023-05-18,0.46202999353408813,0.5299999713897705,0.4106999933719635,0.5,0.5,49752
2023-05-19,0.45535001158714294,0.45535001158714294,0.45535001158714294,0.45535001158714294,0.45535001158714294,530
2023-05-22,0.6000000238418579,0.6000000238418579,0.4000000059604645,0.5899999737739563,0.5899999737739563,22025
2023-05-23,0.699999988079071,0.699999988079071,0.4131999909877777,0.5999000072479248,0.5999000072479248,84370
2023-05-24,0.5,0.5,0.44999998807907104,0.48899999260902405,0.48899999260902405,27456
2023-05-25,0.47999998927116394,0.47999998927116394,0.41999998688697815,0.4399999976158142,0.4399999976158142,84078
2023-05-26,0.4000999927520752,0.4000999927520752,0.4000000059604645,0.4000000059604645,0.4000000059604645,37887
2023-05-30,0.4000000059604645,0.4000000059604645,0.38089999556541443,0.4000000059604645,0.4000000059604645,41825
2023-05-31,0.4000000059604645,0.44999998807907104,0.38600000739097595,0.4399999976158142,0.4399999976158142,46844
2023-06-01,0.4000000059604645,0.4000000059604645,0.35100001096725464,0.35100001096725464,0.35100001096725464,39605
2023-06-02,0.38999998569488525,0.4000000059604645,0.38999998569488525,0.4000000059604645,0.4000000059604645,26710
2023-06-05,0.49000000953674316,0.49000000953674316,0.35600000619888306,0.35600000619888306,0.35600000619888306,19916
2023-06-06,0.45500001311302185,0.5,0.4376299977302551,0.44999998807907104,0.44999998807907104,16288
2023-06-07,0.550000011920929,0.75,0.5020999908447266,0.75,0.75,32758
2023-06-08,0.7799000144004822,0.800000011920929,0.699999988079071,0.7400000095367432,0.7400000095367432,27905
2023-06-09,0.6499999761581421,0.699999988079071,0.6499999761581421,0.699999988079071,0.699999988079071,28973
2023-06-12,0.699999988079071,0.699999988079071,0.6499999761581421,0.6499999761581421,0.6499999761581421,7705
2023-06-13,0.6899999976158142,0.699999988079071,0.6465399861335754,0.6465399861335754,0.6465399861335754,34417
2023-06-14,0.6499999761581421,0.6499999761581421,0.6000000238418579,0.6499999761581421,0.6499999761581421,8300
2023-06-15,0.6279199719429016,0.699999988079071,0.6000000238418579,0.6960499882698059,0.6960499882698059,19877
2023-06-16,0.6600000262260437,0.6600000262260437,0.636430025100708,0.6600000262260437,0.6600000262260437,10350
2023-06-20,0.6600000262260437,0.699999988079071,0.6299999952316284,0.6299999952316284,0.6299999952316284,49573
2023-06-21,0.6999499797821045,0.75,0.6499999761581421,0.6499999761581421,0.6499999761581421,37265
2023-06-22,0.7092000246047974,0.7092000246047974,0.6899999976158142,0.6899999976158142,0.6899999976158142,1700
2023-06-23,0.6100000143051147,0.9800000190734863,0.6100000143051147,0.9800000190734863,0.9800000190734863,47950
2023-06-26,0.8500000238418579,0.8500000238418579,0.7135999798774719,0.800000011920929,0.800000011920929,16590
2023-06-27,0.8500000238418579,0.8500000238418579,0.75,0.7549999952316284,0.7549999952316284,26475
2023-06-28,0.7203999757766724,0.7799999713897705,0.7203999757766724,0.7699999809265137,0.7699999809265137,14864
2023-06-29,0.800000011920929,0.8687999844551086,0.765500009059906,0.8500000238418579,0.8500000238418579,52106
2023-06-30,0.9800000190734863,0.9800000190734863,0.8600000143051147,0.8799999952316284,0.8799999952316284,36855
2023-07-03,0.8199999928474426,0.8999999761581421,0.8008999824523926,0.8999999761581421,0.8999999761581421,5467
2023-07-05,0.8999000191688538,0.8999999761581421,0.8665599822998047,0.8665599822998047,0.8665599822998047,14283
2023-07-06,0.9300000071525574,0.9399999976158142,0.8804500102996826,0.935259997844696,0.935259997844696,24800
2023-07-07,0.9399999976158142,0.9399999976158142,0.8877500295639038,0.8899999856948853,0.8899999856948853,24200
2023-07-10,0.7400000095367432,0.9200000166893005,0.7372499704360962,0.9199900031089783,0.9199900031089783,22212
